Cities,Year,Urban Population,Urban Temporary Population,Gross Urban Population,Gross Regional Product,Number of Manufactured Gas,Number of Natural Gas,Number of Liquefied Petroleum Gas,Total Gas Consumption Number
Shijiazhuang,2000,161,,161,417.7309,59.14,,81.86,141
Shijiazhuang,1999,157.93,,157.93,360.0176,53.85,,80.8,134.65
Shijiazhuang,1998,157.17,,157.17,327.5923,48,,80.5,128.5
Shijiazhuang,1997,154.63,,154.63,299.7157,45,,79,124
Shijiazhuang,1996,151.82,,151.82,252.1454,43.75,,78.6,122.35
Shijiazhuang,1995,147.7,,147.7,212.1206,41.3,,74.4,115.7
Shijiazhuang,1994,141,,141,174.3175,38.5,,75.3,113.8
Shijiazhuang,1991,122.2,,122.2,61.51,15,,73.6,88.6
Shijiazhuang,1990,,,,52.97,15,,69.13,84.13
Shijiazhuang,1989,,,,49.77,6.1,,63.2,69.3
Shijiazhuang,1988,,,,49.34,7.2,,61.4,68.6
Shijiazhuang,2017,264.14,19.83,283.97,3396.2728,233.87,3.75,46.35,283.97
Taiyuan,2016,310,58,368,2754.9377,29.29,321.4,16.94,367.63
Taiyuan,1992,200.5,,200.5,,95.3,,7.3,102.6
Taiyuan,1993,204,,204,,103.7,,9.4,113.1
Taiyuan,2015,307.95,52.05,360,2552.4222,11.26,301.5,41.55,354.31
Taiyuan,2014,302,48,350,2340.9457,10.31,299,40,349.31
Taiyuan,2013,295,45,340,2219.0754,5.21,281,50.39,336.6
Taiyuan,2012,291.5,38.5,330,2112.5331,89.5,185.5,51.7,326.7
Taiyuan,2011,283.37,36.63,320,1885.2165,88.2,153.82,73.5,315.52
Taiyuan,2010,272.21,28.39,300.6,1622.2978,88.3,138,70.2,296.5
Taiyuan,2009,271.29,27,298.29,1422.4531,110,125,58.29,293.29
Taiyuan,2008,268.6,26,294.6,1280.5605,135.29,103.5,50,288.79
Taiyuan,2007,263.8,28,291.8,1114.6379,167.71,80,36.85,284.56
Taiyuan,2005,263.04,,263.04,778.2596,192.35,,60.85,253.2
Taiyuan,2006,270.94,10.23,281.17,329.7034,190,1.33,69,260.33
Taiyuan,2004,254.78,,254.78,533.7334,189,,56.1,245.1
Taiyuan,2003,250.27,,250.27,432.6533,179.98,,57.03,237.01
Taiyuan,2002,245.7,24,269.7,364.8816,177.35,,55.79,233.14
Taiyuan,2001,239.2,24,263.2,328.871,148.32,,35.8,184.12
Taiyuan,2000,233.2,,233.2,294.8218,137.94,,35.63,173.57
Taiyuan,1999,226.7,,226.7,263.8579,126.69,,37.15,163.84
Taiyuan,1998,223.3,,223.3,258.3831,120.04,,40.54,160.58
Taiyuan,1997,221.7,,221.7,253.3413,124.1,,26.9,151
Taiyuan,1996,217,,217,244.2479,119.7,,26,145.7
Taiyuan,1995,212,,212,198.9365,117,,24.1,141.1
Taiyuan,1994,208,,208,157.1047,110.4,,28.7,139.1
Taiyuan,1991,200,,200,83.71,91.1,,4.9,96
Taiyuan,1990,,,,73.42,85.9,,3.7,89.6
Taiyuan,1989,,,,69.37,70.3,,2.3,72.6
Taiyuan,1988,,,,61.23,70.3,,2.3,72.6
Taiyuan,2017,288.09,82.88,370.97,3148.3179,347.56,8.99,14.42,370.97
Wuhan,2016,473.48,232.27,705.75,9630.6028,,586,114,700
Wuhan,1992,382.9,,382.9,,61,,67.1,128.1
Wuhan,1993,387.2,,387.2,,69,,102.6,171.6
Wuhan,2015,474.22,166.51,640.73,8806.0399,,520,114,634
Wuhan,2014,474.22,160.43,634.65,8104.1183,,514,114,628
Wuhan,2013,495.75,132.77,628.52,7266.72,,513,114,627
Wuhan,2012,494.75,132.77,627.52,6484.95,12.38,495,114,621.38
Wuhan,2011,554.73,75,629.73,5530.3789,35.3,425.72,141,602.02
Wuhan,2010,564.73,75,639.73,4559.1116,38.2,399,156,593.2
Wuhan,2009,541.01,74.45,615.46,3888.8522,41.65,359.35,159,560
Wuhan,2008,533.21,62.79,596,3392.4964,44,295.74,199,538.74
Wuhan,2007,451.61,62.79,514.4,2709.03,52,225.38,187,464.38
Wuhan,2005,445.39,40,485.39,2238,4.25,191.14,250,445.39
Wuhan,2006,453,40,493,216.09,,215.74,237.26,453
Wuhan,2004,393.75,40,433.75,1956,86.7,,301.1,387.8
Wuhan,2003,387.49,,387.49,1662.1797,77.8,,301.1,378.9
Wuhan,2002,439.02,34,473.02,1492.7435,76.8,,293.1,369.9
Wuhan,2001,423.95,34,457.95,1347.8027,127.12,,189.12,316.24
Wuhan,2000,423.95,,423.95,1206.8363,118.54,,189.12,307.66
Wuhan,1999,417.7,,417.7,1085.6837,110.52,,181.39,291.91
Wuhan,1998,412.12,,412.12,876.6402,104.36,,170.83,275.19
Wuhan,1997,408.86,,408.86,789.2501,91.11,,169.08,260.19
Wuhan,1996,415.55,,415.55,681.8505,82.31,,162.38,244.69
Wuhan,1995,398.2,,398.2,524.7533,81.5,,143.7,225.2
Wuhan,1994,392.5,,392.5,409.6683,77.5,,127,204.5
Wuhan,1991,379.2,,379.2,153.49,50,,69.2,119.2
Wuhan,1990,,,,118.36,39.93,,68.29,108.22
Wuhan,1989,,,,130.04,30.37,,67.19,97.56
Wuhan,1988,,,,121.11,23.9,,67.4,91.3
Wuhan,2017,576.96,291.52,868.48,13410.34,676,,186,862
